date,ticker,return_value
2020-11-25,BUCIM,
2020-11-25,ASELS,
2020-11-25,AYGAZ,
2020-11-25,ARCLK,
2020-11-25,YKBNK,
2020-11-25,VAKBN,
2020-11-25,ULKER,
2020-11-25,VESTL,
2020-11-25,VESBE,
2020-11-25,ENJSA,
2020-11-25,EKGYO,
2020-11-25,GUBRF,
2020-11-25,MPARK,
2020-11-25,ODAS,
2020-11-25,MGROS,
2020-11-25,LOGO,
2020-11-25,ISGYO,
2020-11-25,KCHOL,
2020-11-25,HEKTS,
2020-11-25,HALKB,
2020-11-25,THYAO,
2020-11-25,SOKM,
2020-11-25,TCELL,
2020-11-25,TAVHL,
2020-11-25,SISE,
2020-11-25,SAHOL,
2020-11-25,SKBNK,
2020-11-25,PETKM,
2020-11-25,TKNSA,
2020-11-25,INDES,
2020-11-25,DGATE,
2020-11-25,TUPRS,
2020-11-25,TOASO,
2020-11-25,TTRAK,
2020-11-25,KRDMD,
2020-11-25,ISCTR,
2020-11-25,TTKOM,
2020-11-25,ZOREN,
2020-11-25,OTKAR,
2020-11-26,AEFES,
2020-11-26,AGHOL,
2020-11-26,AKSA,
2020-11-26,EREGL,
2020-11-26,FROTO,
2020-11-26,BTCIM,
2020-11-26,CCOLA,
2020-11-26,PAPIL,
2020-11-26,TURSG,
2020-11-26,TKFEN,
2020-11-26,OYAKC,
2020-11-26,PGSUS,
2020-11-26,SASA,
2020-11-26,MAVI,
2020-11-26,BRYAT,
2020-11-26,AKFGY,
2020-11-26,AGESA,
2020-11-26,AKBNK,
2020-11-26,ASUZU,
2020-11-26,AKSEN,
2020-11-26,ANHYT,
2020-11-26,ALARK,
2020-11-26,ENKAI,
2020-11-26,EGEEN,
2020-11-26,BRSAN,
2020-11-26,CEMTS,
2020-11-26,ECILC,
2020-11-26,DOHOL,
2020-11-26,CIMSA,
2020-11-26,DOAS,
2020-11-26,GARAN,
2020-11-26,BERA,
2020-11-26,BRISA,
2020-11-26,BIMAS,
2020-11-26,BUCIM,
2020-11-26,ASELS,
2020-11-26,AYGAZ,
2020-11-26,ARCLK,
2020-11-26,YKBNK,
2020-11-26,VAKBN,
2020-11-26,ULKER,
2020-11-26,VESTL,
2020-11-26,VESBE,
2020-11-26,ENJSA,
2020-11-26,EKGYO,
2020-11-26,GUBRF,
2020-11-26,MPARK,
2020-11-26,ODAS,
2020-11-26,MGROS,
2020-11-26,LOGO,
2020-11-26,ISGYO,
2020-11-26,KCHOL,
2020-11-26,HEKTS,
2020-11-26,HALKB,
2020-11-26,THYAO,
2020-11-26,SOKM,
2020-11-26,TCELL,
2020-11-26,TAVHL,
2020-11-26,SISE,
2020-11-26,SAHOL,
2020-11-26,SKBNK,
2020-11-26,PETKM,
2020-11-26,TKNSA,
2020-11-26,INDES,
2020-11-26,DGATE,
2020-11-26,TUPRS,
2020-11-26,TOASO,
2020-11-26,TTRAK,
2020-11-26,KRDMD,
2020-11-26,ISCTR,
2020-11-26,TTKOM,
